1,1,2022-02-12,2022-02-28,Same Day,West
2,2,2022-01-15,2022-01-29,Standard,NULL
3,3,2023-02-02,2023-02-13,Standard,South
4,4,2023-03-18,2023-04-04,Same Day,South
5,5,2022-11-26,2022-12-06,Standard,North
6,6,2024-05-27,2024-05-28,First Class,West
7,7,2022-07-31,2022-07-28,First Class,South
8,8,2023-03-24,2023-04-05,Same Day,West
9,9,2024-03-04,2024-03-23,Standard,West
10,10,2024-01-19,2024-01-20,Standard,NULL
11,11,2022-03-04,2022-03-13,First Class,North
12,12,2022-09-28,2022-09-27,First Class,West
13,13,2022-03-05,2022-03-20,Standard,North
14,14,2022-05-26,2022-06-01,NULL,East
15,15,2024-11-09,2024-11-10,Standard,East
16,16,2023-12-17,2023-12-25,NULL,NULL
17,17,2024-05-20,2024-05-29,First Class,NULL
18,18,2022-06-05,2022-06-17,Second Class,West
19,19,2023-09-27,2023-10-07,Same Day,North
20,20,2022-07-07,2022-07-19,Standard,East
21,21,2023-09-19,2023-10-04,NULL,West
22,22,2023-08-22,2023-09-06,Standard,North
23,23,2023-05-20,2023-05-23,Standard,North
24,24,2022-10-14,2022-10-23,Standard,NULL
25,25,2022-01-04,2022-01-21,NULL,West
26,26,2024-04-11,2024-04-12,Second Class,NULL
27,27,2023-12-09,2023-12-17,Same Day,NULL
28,28,2023-05-24,2023-06-07,First Class,West
29,29,2022-05-16,2022-06-01,Second Class,West
30,30,2022-11-30,2022-12-09,First Class,Central
31,31,2023-03-05,2023-03-13,Standard,North
32,32,2022-08-12,2022-08-18,NULL,East
33,33,2022-09-17,2022-10-03,Second Class,East
34,34,2024-07-06,2024-07-08,First Class,Central
35,35,2022-02-19,2022-03-01,Standard,NULL
36,36,2025-02-01,2025-02-13,NULL,North
37,37,2022-12-24,2022-12-27,NULL,North
38,38,2023-11-13,2023-11-23,Second Class,NULL
39,39,2022-05-13,2022-05-28,Second Class,NULL
40,40,2023-08-17,2023-08-22,NULL,West
41,41,2024-04-05,2024-04-12,First Class,NULL
42,42,2024-06-23,2024-06-27,First Class,NULL
43,43,2024-07-07,2024-07-19,First Class,Central
44,44,2024-01-06,2024-01-07,Standard,West
45,45,2023-01-26,2023-02-08,Second Class,West
46,46,2024-12-08,2024-12-18,NULL,West
47,47,2022-12-12,2022-12-28,Standard,South
48,48,2024-04-19,2024-04-28,Second Class,NULL
49,49,2024-03-18,2024-03-19,Standard,NULL
50,50,2022-02-21,2022-02-26,Standard,North
51,51,2023-10-16,2023-10-14,NULL,NULL
52,52,2024-09-15,2024-09-23,Second Class,NULL
53,53,2022-03-25,2022-03-25,Same Day,West
54,54,2022-09-09,2022-09-26,Standard,NULL
55,55,2024-10-23,2024-11-05,Second Class,West
56,56,2023-12-11,2023-12-25,NULL,South
57,57,2025-02-01,2025-02-12,Second Class,NULL
58,58,2023-01-09,2023-01-25,Second Class,Central
59,59,2025-04-01,2025-04-19,First Class,West
60,60,2022-09-26,2022-10-12,Standard,North
61,61,2024-05-29,2024-06-10,NULL,South
62,62,2023-08-22,2023-08-31,Standard,West
63,63,2024-03-11,2024-03-23,First Class,East
64,64,2023-04-17,2023-05-01,Standard,East
65,65,2023-02-11,2023-02-25,Standard,NULL
66,66,2023-11-18,2023-12-01,NULL,North
67,67,2025-03-19,2025-03-23,NULL,East
68,68,2023-09-10,2023-09-12,NULL,East
69,69,2025-02-05,2025-02-07,First Class,East
70,70,2022-07-17,2022-07-24,NULL,East
71,71,2022-09-06,2022-09-18,Same Day,NULL
72,72,2024-04-04,2024-04-12,Second Class,East
73,73,2023-08-01,2023-08-02,Standard,East
74,74,2022-09-15,2022-10-01,NULL,South
75,75,2022-10-23,2022-10-27,Standard,East
76,76,2025-02-26,2025-03-09,First Class,South
77,77,2024-11-07,2024-11-12,Second Class,NULL
78,78,2023-04-18,2023-04-20,NULL,NULL
79,79,2024-07-21,2024-08-03,Second Class,NULL
80,80,2024-08-19,2024-08-24,First Class,East
81,81,2024-07-24,2024-07-23,NULL,NULL
82,82,2022-08-25,2022-09-10,Standard,East
83,83,2022-02-11,2022-02-13,Same Day,West
84,84,2023-03-20,2023-04-04,Standard,South
85,85,2022-08-18,2022-08-27,NULL,Central
86,86,2024-04-05,2024-04-13,Standard,East
87,87,2024-04-27,2024-05-02,Standard,North
88,88,2022-01-17,2022-01-15,Standard,East
89,89,2022-04-30,2022-05-14,Standard,East
90,90,2022-06-23,2022-07-11,Same Day,South
91,91,2022-08-26,2022-09-04,NULL,West
92,92,2022-12-04,2022-12-16,NULL,Central
93,93,2022-07-25,2022-08-08,Standard,West
94,94,2023-11-29,2023-12-10,First Class,East
95,95,2024-03-02,2024-03-21,Second Class,East
96,96,2023-07-17,2023-07-26,NULL,NULL
97,97,2024-11-21,2024-11-21,NULL,East
98,98,2023-01-06,2023-01-14,NULL,NULL
99,99,2022-12-05,2022-12-24,Standard,East
100,100,2023-03-14,2023-03-21,Standard,NULL
101,101,2023-11-14,2023-12-02,Standard,NULL
102,102,2023-03-05,2023-03-23,Standard,East
103,103,2025-03-25,2025-04-09,Standard,North
104,104,2025-01-28,2025-02-10,Same Day,South
105,105,2024-04-10,2024-04-26,Standard,Central
106,106,2023-02-03,2023-02-07,NULL,East
107,107,2023-03-02,2023-03-02,Second Class,South
108,108,2022-07-28,2022-08-11,Standard,East
109,109,2023-01-27,2023-01-28,NULL,NULL
110,110,2022-02-20,2022-03-01,NULL,North
111,111,2023-03-09,2023-03-17,Same Day,East
112,112,2024-09-24,2024-10-08,Standard,South
113,113,2023-04-24,2023-04-24,NULL,East
114,114,2024-04-10,2024-04-24,NULL,NULL
115,115,2022-04-02,2022-04-18,First Class,North
116,116,2024-04-25,2024-05-06,First Class,North
117,117,2023-12-22,2024-01-04,Second Class,East
118,118,2025-02-25,2025-02-26,Same Day,East
119,119,2023-12-24,2023-12-27,First Class,West
120,120,2023-07-19,2023-07-23,Standard,South
121,121,2025-02-27,2025-03-13,NULL,North
122,122,2023-09-09,2023-09-12,NULL,East
123,123,2023-09-09,2023-09-22,First Class,West
124,124,2024-10-14,2024-10-17,Second Class,East
125,125,2023-01-12,2023-01-15,NULL,Central
126,126,2022-03-05,2022-03-18,NULL,West
127,127,2022-01-11,2022-01-30,Second Class,East
128,128,2022-03-24,2022-03-28,NULL,North
129,129,2024-05-08,2024-05-18,NULL,North
130,130,2022-01-18,2022-02-02,NULL,West
131,131,2022-03-04,2022-03-24,Same Day,East
132,132,2024-01-06,2024-01-09,Second Class,North
133,133,2025-03-18,2025-03-26,First Class,East
134,134,2023-01-03,2023-01-08,NULL,West
135,135,2022-06-02,2022-06-17,First Class,NULL
136,136,2024-08-18,2024-08-22,Second Class,North
137,137,2024-01-15,2024-01-26,First Class,West
138,138,2024-04-23,2024-05-03,First Class,Central
139,139,2023-10-06,2023-10-17,Same Day,NULL
140,140,2022-02-21,2022-02-20,Second Class,West
141,141,2022-05-11,2022-05-25,Standard,NULL
142,142,2023-09-22,2023-09-30,NULL,North
143,143,2024-11-13,2024-11-24,Same Day,NULL
144,144,2024-07-05,2024-07-12,NULL,Central
145,145,2023-09-30,2023-10-15,Standard,NULL
146,146,2024-01-16,2024-01-28,First Class,NULL
147,147,2022-06-02,2022-05-31,NULL,West
148,148,2022-10-09,2022-10-16,NULL,Central
149,149,2025-04-14,2025-05-01,NULL,North
150,150,2022-11-01,2022-11-13,NULL,East
151,151,2022-08-24,2022-08-29,NULL,South
152,152,2024-01-02,2024-01-05,Second Class,West
153,153,2024-11-28,2024-12-06,Standard,South
154,154,2025-02-13,2025-02-24,First Class,North
155,155,2023-12-07,2023-12-22,NULL,Central
156,156,2022-04-06,2022-04-24,First Class,NULL
157,157,2023-11-30,2023-12-02,NULL,NULL
158,158,2024-11-02,2024-11-04,NULL,NULL
159,159,2024-06-02,2024-06-04,NULL,Central
160,160,2024-06-19,2024-06-25,Same Day,North
161,161,2024-11-10,2024-11-15,Standard,NULL
162,162,2022-04-25,2022-04-29,First Class,NULL
163,163,2024-08-27,2024-08-29,Standard,North
164,164,2022-10-28,2022-11-14,Second Class,East
165,165,2023-03-11,2023-03-26,NULL,East
166,166,2022-08-07,2022-08-15,Standard,NULL
167,167,2022-06-09,2022-06-26,Standard,NULL
168,168,2024-11-03,2024-11-03,Same Day,West
169,169,2022-06-29,2022-07-16,NULL,NULL
170,170,2022-08-11,2022-08-26,Second Class,West
171,171,2022-10-24,2022-11-02,First Class,NULL
172,172,2024-12-25,2024-12-29,Standard,West
173,173,2022-02-12,2022-02-23,Second Class,West
174,174,2023-07-14,2023-07-28,Standard,East
175,175,2023-11-30,2023-12-01,NULL,East
176,176,2024-11-15,2024-11-16,Second Class,NULL
177,177,2025-01-27,2025-02-12,Same Day,NULL
178,178,2023-08-14,2023-08-21,Same Day,East
179,179,2024-12-18,2024-12-31,Standard,NULL
180,180,2024-02-15,2024-02-24,NULL,East
181,181,2022-06-01,2022-06-09,Standard,NULL
182,182,2023-09-13,2023-09-30,Same Day,West
183,183,2024-12-21,2024-12-29,NULL,NULL
184,184,2022-03-13,2022-03-12,Standard,West
185,185,2022-04-28,2022-05-14,First Class,Central
186,186,2024-07-18,2024-07-29,NULL,NULL
187,187,2022-10-22,2022-10-31,Standard,East
188,188,2024-02-27,2024-03-03,Second Class,NULL
189,189,2023-12-28,2024-01-10,NULL,West
190,190,2025-04-12,2025-04-26,First Class,North
191,191,2025-03-18,2025-03-30,NULL,NULL
192,192,2022-04-13,2022-04-20,Standard,South
193,193,2022-10-08,2022-10-21,Standard,East
194,194,2023-07-14,2023-07-28,Standard,NULL
195,195,2022-12-19,2023-01-02,NULL,NULL
196,196,2022-08-28,2022-08-27,Standard,East
197,197,2023-08-09,2023-08-24,Second Class,North
198,198,2022-01-12,2022-01-29,First Class,South
199,199,2022-03-26,2022-03-25,First Class,North
200,200,2023-02-04,2023-02-21,Same Day,NULL
201,201,2023-12-28,2023-12-28,Standard,Central
202,202,2024-07-29,2024-08-06,Second Class,North
203,203,2023-11-03,2023-11-15,Same Day,NULL
204,204,2022-07-16,2022-07-26,NULL,East
205,205,2023-04-08,2023-04-11,NULL,NULL
206,206,2022-11-13,2022-11-25,Second Class,South
207,207,2024-05-20,2024-06-07,NULL,Central
208,208,2024-02-08,2024-02-25,Standard,NULL
209,209,2023-10-24,2023-10-26,Same Day,West
210,210,2023-11-06,2023-11-06,Standard,Central
211,211,2023-10-27,2023-11-12,NULL,West
212,212,2024-12-05,2024-12-21,Standard,South
213,213,2022-08-09,2022-08-16,Standard,West
214,214,2022-06-26,2022-07-04,First Class,East
215,215,2024-03-28,2024-04-06,NULL,NULL
216,216,2025-02-23,2025-03-11,Second Class,NULL
217,217,2024-10-21,2024-10-29,Second Class,NULL
218,218,2023-02-22,2023-02-24,NULL,East
219,219,2023-07-24,2023-08-07,Same Day,South
220,220,2024-07-03,2024-07-17,Second Class,NULL
221,221,2023-04-02,2023-04-04,Standard,South
222,222,2023-07-20,2023-07-21,First Class,East
223,223,2022-07-16,2022-07-27,Same Day,West
224,224,2022-05-24,2022-06-09,NULL,North
225,225,2024-06-19,2024-07-01,NULL,NULL
226,226,2024-08-14,2024-08-24,Second Class,NULL
227,227,2023-05-16,2023-05-27,NULL,South
228,228,2022-10-29,2022-11-01,Second Class,East
229,229,2022-08-13,2022-08-16,Second Class,North
230,230,2023-01-03,2023-01-02,Standard,NULL
231,231,2025-02-09,2025-02-21,Standard,East
232,232,2023-07-28,2023-08-07,Second Class,North
233,233,2023-07-07,2023-07-20,First Class,NULL
234,234,2023-05-21,2023-06-01,Standard,East
235,235,2022-12-16,2022-12-29,Standard,East
236,236,2024-11-17,2024-12-02,Second Class,East
237,237,2022-12-04,2022-12-12,Second Class,NULL
238,238,2023-07-09,2023-07-21,Standard,NULL
239,239,2023-11-22,2023-11-27,Second Class,NULL
240,240,2024-12-12,2024-12-11,First Class,NULL
241,241,2022-02-17,2022-03-03,First Class,Central
242,242,2023-11-29,2023-12-16,Second Class,East
243,243,2022-05-05,2022-05-08,First Class,East
244,244,2022-09-11,2022-09-20,Same Day,Central
245,245,2023-08-28,2023-09-10,NULL,East
246,246,2023-07-19,2023-07-29,Standard,NULL
247,247,2022-03-21,2022-04-06,NULL,West
248,248,2022-12-21,2022-12-30,Same Day,West
249,249,2024-12-06,2024-12-04,Second Class,NULL
250,250,2022-09-01,2022-09-07,NULL,East
251,251,2023-04-13,2023-04-11,First Class,East
252,252,2022-05-30,2022-06-09,First Class,North
253,253,2022-12-06,2022-12-07,NULL,NULL
254,254,2022-12-01,2022-12-07,Second Class,East
255,255,2024-02-01,2024-02-17,Standard,West
